               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.014648,           0.0064606,                   0,             0.99462,                   1,               0.995,             0.92175,             0.00516,           0.0020299,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.014143,           0.0056021,                   0,             0.99441,                   1,               0.995,             0.90619,           0.0052554,           0.0019944,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.015163,           0.0057767,                   0,             0.99451,                   1,               0.995,             0.92758,           0.0048477,           0.0018635,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.013878,           0.0060155,                   0,             0.99464,                   1,               0.995,             0.94892,           0.0046658,           0.0018194,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.013667,            0.005903,                   0,             0.99485,                   1,               0.995,             0.92886,           0.0046726,            0.001838,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.013801,           0.0055689,                   0,             0.99482,                   1,               0.995,             0.98157,           0.0042469,           0.0018194,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.012421,           0.0059197,                   0,             0.99462,                   1,               0.995,             0.98403,           0.0042857,           0.0017655,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.011638,           0.0054121,                   0,             0.99457,                   1,               0.995,              0.9408,           0.0045061,           0.0017583,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.012207,           0.0058281,                   0,             0.99457,                   1,               0.995,             0.94132,           0.0047007,           0.0017748,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.014958,           0.0059499,                   0,             0.99453,                   1,               0.995,             0.92638,           0.0043428,           0.0017431,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.01239,           0.0060658,                   0,             0.99474,                   1,               0.995,             0.95376,           0.0041322,            0.001713,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.01251,            0.005518,                   0,             0.99464,                   1,               0.995,             0.95375,           0.0039208,             0.00173,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.011394,            0.005864,                   0,             0.99478,                   1,               0.995,             0.97155,           0.0039067,           0.0017171,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.010738,           0.0050655,                   0,             0.99478,                   1,               0.995,             0.96645,           0.0038121,           0.0017076,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.011006,           0.0056503,                   0,             0.99476,                   1,               0.995,             0.98402,           0.0038108,             0.00173,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.01268,           0.0057802,                   0,             0.99474,                   1,               0.995,             0.96657,            0.003818,           0.0017798,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.011988,           0.0058174,                   0,             0.99461,                   1,               0.995,             0.95396,           0.0037953,           0.0018044,                   0,            0.000298,            0.000298,            0.000298
